Silo,Cust_ID,name_cust,id_st,Date_Invoice,id_item,descr_1,qty_ship,price_net,code_cat_prdt,flag_stat_item,Item_Add_date
I ,22777,USHER OIL COMPANY,MI,3/18/2019,1000ABS550,ACTIV VIII,8,1750.56,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,5/21/2019,1000ABS550,ACTIV VIII,8,1838.08,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,2/11/2020,1000ABS550,ACTIV VIII,4,919.04,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,4/6/2020,1000ABS550,ACTIV VIII,4,919.04,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,8/19/2020,1000ABS550,ACTIV VIII,4,919.04,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,12/2/2020,1000ABS550,ACTIV VIII,4,919.04,10,A,6/12/2015
I ,22777,USHER OIL COMPANY,MI,4/6/2020,1000ABS613,ACTIV VIII,1,926.75,10,A,6/12/2015
J ,2660,BERKEL MIDWEST,IL,12/14/2020,1000BKL040,BERKEL MIDWEST FRYER CLEANER,25,560,10,A,9/12/2003
C ,20930,CHARLOTTE PRODUCTS LTD.,IL,3/30/2020,1000CUS026,SAFE CLEAN 319000-18,35,656.6,10,A,1/19/2015
C ,20930,CHARLOTTE PRODUCTS LTD.,IL,10/4/2019,1000CUS026,SAFE CLEAN 319000-18,26,487.76,10,A,1/19/2015
C ,20930,CHARLOTTE PRODUCTS LTD.,IL,3/4/2019,1000CUS026,SAFE CLEAN 319000-18,25,463,10,A,1/19/2015
C ,20930,CHARLOTTE PRODUCTS LTD.,IL,10/21/2020,1000CUS026,SAFE CLEAN 319000-18,16,300.16,10,A,1/19/2015
I ,16630,"ADREM,INC.",MI,8/20/2020,1000OID550,CLEAN EASE,8,1848,10,A,12/30/1994
I ,16630,"ADREM,INC.",MI,4/25/2019,1000OID550,CLEAN EASE,8,1845.68,10,A,12/30/1994
I ,16630,"ADREM,INC.",MI,1/7/2019,1000OID550,CLEAN EASE,8,1845.68,10,A,12/30/1994
I ,16630,"ADREM,INC.",MI,2/25/2019,1000OID550,CLEAN EASE,8,1845.68,10,A,12/30/1994
I ,16630,"ADREM,INC.",MI,9/9/2019,1000OID550,CLEAN EASE,8,1848,10,A,12/30/1994
I ,2920,BRUSKE PRODUCTS,IL,3/26/2020,1004BRP060,RELEASE D'GREASE FNSH (9391-6),57,2016.66,10,A,1/2/1995
I ,3880,CLOVERLEAF CHEMICAL CO.,IL,10/8/2020,1023CCC050,RC-19 CLEANER & DEGREASER,1,31.63,10,A,12/9/2008
I ,3880,CLOVERLEAF CHEMICAL CO.,IL,12/15/2020,1023CCC050,RC-19 CLEANER & DEGREASER,1,31.63,10,A,12/9/2008
I ,3880,CLOVERLEAF CHEMICAL CO.,IN,7/22/2020,1023CCC050,RC-19 CLEANER & DEGREASER,1,31.63,10,A,12/9/2008
I ,3880,CLOVERLEAF CHEMICAL CO.,IL,4/8/2020,1023CCC550,RC-19 CLEANER DEGREASER,1,298.09,10,A,2/7/1995
I ,3880,CLOVERLEAF CHEMICAL CO.,OH,3/31/2020,1023CCC550,RC-19 CLEANER DEGREASER,1,298.09,10,A,2/7/1995
I ,3880,CLOVERLEAF CHEMICAL CO.,IL,9/17/2019,1023CCC550,RC-19 CLEANER DEGREASER,1,298.09,10,A,2/7/1995
I ,3880,CLOVERLEAF CHEMICAL CO.,OH,7/24/2019,1023CCC550,RC-19 CLEANER DEGREASER,1,298.09,10,A,2/7/1995
I ,3880,CLOVERLEAF CHEMICAL CO.,OH,1/15/2019,1023CCC550,RC-19 CLEANER DEGREASER,1,290.94,10,A,2/7/1995
